id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2711	0.4931061	2.085	7.784	10449.0	1006.0	14504.0	930.9	20837.0	971.0	30800.0	418.9	41992.0	537.5	65343.0	764.5	84148.0	2407.0	104210.0	4768.0	145250.0	7573.0	176920.0	8964.0	187080.0	8793.0	188290.0	14500.0	530100.0	145900.0	nan	nan	nan	nan	nan	nan	nan	nan
2728	0.342644	9.679	13.14	46050.0	1790.0	63426.0	1362.0	81795.0	351.7	99798.0	159.70000000000002	139430.0	264.90000000000003	170210.0	442.5	269500.0	1213.0	295890.0	6680.0	428210.0	11720.0	517220.0	15050.0	492980.0	14790.0	604260.0	20540.0	1761300.0	135400.0	4467000.0	897200.0	nan	nan	nan	nan	nan	nan
2729	1.077742	2.996	5.4910000000000005	nan	nan	13908.0	915.5	25652.0	967.0999999999999	34758.0	417.1	50608.0	541.5	47931.0	623.1	52265.0	1845.0	66125.0	4716.0	87747.0	7249.0	104180.0	8970.0	170780.0	8368.0	270410.0	15950.0	518750.0	172300.0	nan	nan	nan	nan	nan	nan	nan	nan
2731	0.3653947	4.557	8.727	nan	nan	10883.0	932.4	19739.0	1167.0	39528.0	541.5	94770.0	852.9	134940.0	1093.0	184920.0	3495.0	206730.0	6632.0	249090.0	11650.0	349780.0	15000.0	258959.99999999997	10100.0	237040.0	14460.0	1116800.0	151500.0	nan	nan	nan	nan	nan	nan	nan	nan
2741	0.6389617	0.4556	1.387	nan	nan	12809.0	969.6	13141.0	876.5	18844.0	354.3	29683.0	498.7	49244.0	728.8	57412.0	2371.0	75448.0	7524.0	126080.0	12280.0	162740.0	15680.0	215790.0	9495.0	174110.0	14100.0	605380.0	216700.0	nan	nan	nan	nan	nan	nan	nan	nan
2753	0.4168555	0.4734	2.036	nan	nan	nan	nan	nan	nan	4123.1	239.1	17051.0	422.9	31467.0	601.0	45524.0	1971.0	69085.0	6533.0	93587.0	11610.0	109520.0	14990.0	101770.0	6819.0	63625.0	11640.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2758	0.3489321	1.7440000000000002	5.3740000000000006	nan	nan	nan	nan	12465.0	1355.0	35516.0	571.8	117280.0	996.9	187870.0	1428.0	256950.0	4856.0	273990.0	7681.0	361710.0	12530.0	430730.0	15910.0	299240.0	10770.0	252830.0	15930.0	1230800.0	188300.0	nan	nan	42482000.0	10970000.0	25842000.0	11100000.0	nan	nan
2782	0.2755461	7.204000000000001	1.6869999999999998	nan	nan	7439.5	1180.0	9724.3	836.3000000000001	23334.0	394.3	58788.0	640.8000000000001	83376.0	867.1	119880.0	2817.0	178050.0	6595.0	236480.0	11290.0	308440.0	14900.0	285510.0	10850.0	389070.0	17120.0	981740.0	172700.0	nan	nan	nan	nan	nan	nan	nan	nan
2788	0.8949025	7.669	16.279999999999998	17592.0	1309.0	42611.0	1336.0	25209.0	1046.0	33903.0	444.1	38316.0	524.9	37643.0	666.3	46024.0	2159.0	82208.0	4134.0	56692.0	6191.0	74087.0	8391.0	129550.00000000001	7384.0	162940.0	13520.0	355490.0	160000.0	nan	nan	nan	nan	nan	nan	nan	nan
2793	0.7712753	2.277	11.440000000000001	nan	nan	nan	nan	3921.0	635.6	8400.6	280.6	10702.0	376.7	17684.0	532.3	31727.0	1834.0	49194.0	6494.0	61999.0	11660.0	69550.0	15050.0	119680.0	7061.0	120790.0	13050.0	432250.0	148300.0	nan	nan	nan	nan	nan	nan	nan	nan
2803	0.2558845	1.555	4.157	11774.0	623.0	23870.0	889.5	43718.0	1364.0	72426.0	630.1	115190.0	829.4	144370.0	1126.0	182000.0	3276.0	221540.0	6473.0	287820.0	9939.0	413260.0	14230.0	408530.0	13480.0	546550.0	20770.0	1985300.0	154100.0	4834900.0	1034000.0	nan	nan	nan	nan	nan	nan
